"x"
"NM_011011"
""
"NM_053107"
"NM_008057"
"NM_139270"
"NM_009909"
"NM_007722"
"NM_022320"
"NM_175642"
"NM_146250"
"NM_022721"
"NM_178241"
"NM_008311"
"NM_010341"
"NM_010483"
"NM_009911"
"NM_001008533"
"NM_134438"
"NM_010045"
"NM_010098"
"NM_008703"
"NM_053205"
"NM_001007266"
"NM_001008429"
"NM_001008499"
"NM_001009574"
"NM_009314"
"NM_009630"
"NM_053244"
"NM_009325"
"NM_016847"
"NM_001039652"
"NM_001002268"
"NM_001010828"
"NM_001010837"
"NM_001010831"
"NM_153071"
"NM_010102"
"NM_010195"
"NM_007412"
"NM_175490"
"NM_173372"
"NM_007413"
"NM_020510"
"NM_007762"
"NM_181749"
"NM_147217"
"NM_010254"
"NM_008101"
"NM_145440"
"NM_007416"
"NM_153079"
"NM_175681"
"NM_007719"
"NM_007721"
"NM_008747"
"NM_009216"
"NM_011648"
"NM_008152"
"NM_009747"
"NM_009511"
"NM_175191"
"NM_008159"
"NM_181752"
"NM_175493"
"NM_019925"
"NM_010101"
"NM_010170"
"NM_008308"
"NM_033269"
"NM_181754"
"NM_010076"
"NM_175495"
"NM_054053"
"NM_007974"
"NM_010169"
"NM_008964"
"NM_020490"
"NM_008519"
"NM_013461"
"NM_175116"
"NM_172812"
"NM_008919"
"NM_008962"
"NM_021458"
"NM_133720"
"NM_007904"
"NM_001001490"
"NM_182806"
"NM_183031"
"NM_008056"
"NM_013696"
"NM_174991"
"NM_015738"
"NM_145132"
"NM_178717"
"NM_173365"
"NM_009218"
"NM_009886"
"NM_030720"
"NM_153394"
"NM_007877"
"NM_013803"
"NM_172825"
"NM_008310"
"NM_009835"
"NM_021332"
"NM_019439"
"NM_133776"
"NM_139138"
"NM_010130"
"NM_001013385"
"NM_181753"
"NM_013582"
"NM_013523"
"NM_008552"
"NM_008058"
"NM_153087"
"NM_010935"
"NM_008313"
"NM_013596"
"NM_001025381"
"NM_007420"
"NM_008560"
"NM_206973"
"NM_009962"
"NM_181748"
"NM_007417"
"NM_207220"
"NM_008315"
"NM_201615"
"NM_001004761"
"NM_178760"
"NM_177383"
"NM_011784"
"NM_009633"
"NM_009219"
"NM_008561"
"NM_018766"
"NM_011012"
"NM_018782"
"NM_205783"
"NM_201367"
"NM_013460"
"NM_144944"
"NM_133849"
"NM_177330"
"NM_032400"
"NM_008772"
"NM_009631"
"NM_021382"
"NM_022983"
"NM_133222"
"NM_011196"
"NM_198192"
"NM_173398"
"NM_133200"
"NM_032399"
"NM_028808"
"NM_027571"
"NM_177346"
"NM_212452"
"NM_008731"
"NM_181817"
"NM_175470"
"NM_017392"
"NM_007901"
"NM_022427"
"NM_001081298"
"NM_008966"
"NM_030733"
"NM_007726"
"NM_173071"
"NM_009924"
"NM_008309"
"NM_031873"
"NM_177366"
"NM_178406"
"NM_010336"
"NM_198959"
"NM_013622"
"NM_008154"
"NM_021358"
"NM_031867"
"NM_031872"
"NM_008314"
"NM_007418"
"NM_198702"
"NM_133192"
"NM_175284"
"NM_029771"
"NM_080468"
"NM_021457"
"NM_181850"
"NM_001014394"
"NM_009827"
"NM_010323"
"NM_008153"
"NM_030701"
"NM_175520"
"NM_013503"
"NM_176996"
"NM_001003685"
"NM_007407"
"NM_009313"
"NM_011906"
"NM_008158"
"NM_177328"
"NM_008285"
"NM_145383"
"NM_181444"
"NM_007588"
"NM_145066"
"NM_010338"
"NM_008174"
"NM_007538"
"NM_009953"
"NM_021381"
"NM_001081147"
"NM_009779"
"NM_013533"
"NM_008157"
"NM_053118"
"NM_008967"
"NM_175668"
"NM_008055"
"NM_007627"
"NM_173410"
"NM_177469"
"NM_007878"
"NM_145379"
"NM_203490"
"NM_176912"
"NM_001080815"
"NM_146187"
"NM_194057"
"NM_183168"
"NM_008773"
"NM_022420"
"NM_203492"
"NM_175534"
"NM_054044"
"NM_008639"
"NM_010934"
"NM_020028"
"NM_007975"
"NM_013641"
"NM_181039"
"NM_018882"
"NM_173036"
"NM_008559"
"NM_013462"
"NM_016708"
"NM_010332"
"NM_010287"
"NM_175678"
"NM_010077"
"NM_080437"
"NM_011703"
"NM_021609"
"NM_009913"
"NM_030712"
"NM_009914"
"NM_009915"
"NM_009917"
"NM_145712"
"NM_010333"
"NM_053190"
"NM_007551"
"NM_198962"
"NM_010482"
"NM_145700"
"NM_011199"
"NM_017466"
"NM_009987"
"NM_011798"
"NM_009912"
"NM_011823"
"NM_175669"
"NM_007429"
"NM_009766"
"NM_010340"
"NM_019404"
"NM_008106"
"NM_175271"
"NM_172435"
"NM_008312"
"NM_010951"
"NM_178712"
"NM_020621"
"NM_009910"
"NM_021476"
"NM_027543"
"NM_008177"
